Code,Office,VoterCount
02-0010-000,"BARRINGTON TOWNSHIP",12558
02-0020-000,"BERWYN TOWNSHIP",30764
02-0030-000,"BLOOM TOWNSHIP",57649
02-0040-000,"BREMEN TOWNSHIP",71664
02-0050-000,"CALUMET TOWNSHIP",11877
02-0060-000,"CICERO TOWNSHIP",33050
02-0070-000,"ELK GROVE TOWNSHIP",52524
02-0080-000,"EVANSTON TOWNSHIP",51646
02-0090-000,"HANOVER TOWNSHIP",55107
02-0100-000,"LEMONT TOWNSHIP",16317
02-0110-000,"LEYDEN TOWNSHIP",51175
02-0120-000,"LYONS TOWNSHIP",72284
02-0130-000,"MAINE TOWNSHIP",87321
02-0140-000,"NEW TRIER TOWNSHIP",43891
02-0150-000,"NILES TOWNSHIP",74002
02-0160-000,"NORTHFIELD TOWNSHIP",65594
02-0170-000,"NORWOOD PARK TOWNSHIP",17185
02-0180-000,"OAK PARK TOWNSHIP",39564
02-0190-000,"ORLAND TOWNSHIP",71999
02-0200-000,"PALATINE TOWNSHIP",72307
02-0210-000,"PALOS TOWNSHIP",36222
02-0220-000,"PROVISO TOWNSHIP",96842
02-0230-000,"RICH TOWNSHIP",56734
02-0240-000,"RIVER FOREST TOWNSHIP",8257
02-0250-000,"RIVERSIDE TOWNSHIP",11799
02-0260-000,"SCHAUMBURG TOWNSHIP",80379
02-0270-000,"STICKNEY TOWNSHIP",22236
02-0280-000,"THORNTON TOWNSHIP",110709
02-0290-000,"WHEELING TOWNSHIP",98839
02-0300-000,"WORTH TOWNSHIP",97980
03-0010-000,"VILLAGE OF ALSIP",12000
03-0020-000,"VILLAGE OF ARLINGTON HEIGHTS",53409
03-0030-000,"VILLAGE OF BARRINGTON",4401
03-0040-000,"VILLAGE OF BARRINGTON HILLS",1761
03-0050-000,"VILLAGE OF BARTLETT",10768
03-0060-000,"VILLAGE OF BEDFORD PARK",403
03-0070-000,"VILLAGE OF BELLWOOD",13094
03-0090-000,"VILLAGE OF BERKELEY",3523
03-0100-000,"CITY OF BERWYN",30764
03-0110-000,"CITY OF BLUE ISLAND",12207
03-0120-000,"VILLAGE OF BRIDGEVIEW",8907
03-0130-000,"VILLAGE OF BROADVIEW",5853
03-0140-000,"VILLAGE OF BROOKFIELD",13403
03-0150-000,"VILLAGE OF BUFFALO GROVE",9034
03-0160-000,"CITY OF BURBANK",15944
